"REF_AREA","INDICATOR","GENDER","AGE_CLASS","CITIZENSHIP","OBS_VALUE"
"034004","RESPOP_AV","M","Y50-59","TOTAL","181"
"034004","RESPOP_AV","M","Y60-69","FRGAPO","9"
"034004","RESPOP_AV","M","Y60-69","ITL","178"
"034004","RESPOP_AV","M","Y60-69","TOTAL","187"
"034004","RESPOP_AV","M","Y70-79","FRGAPO","3"
"034004","RESPOP_AV","M","Y70-79","ITL","162"
"034004","RESPOP_AV","M","Y70-79","TOTAL","165"
"034004","RESPOP_AV","M","Y80-89","ITL","84"
"034004","RESPOP_AV","M","Y80-89","TOTAL","84"
"034004","RESPOP_AV","M","Y90-99","ITL","13"
"034004","RESPOP_AV","M","Y90-99","TOTAL","13"
"034004","RESPOP_AV","T","TOTAL","FRGAPO","221"
"034004","RESPOP_AV","T","TOTAL","ITL","1747"
"034004","RESPOP_AV","T","TOTAL","TOTAL","1968"
"034004","RESPOP_AV","T","Y_GE100","ITL","1"
"034004","RESPOP_AV","T","Y_GE100","TOTAL","1"
"034004","RESPOP_AV","T","Y0-9","FRGAPO","21"
"034004","RESPOP_AV","T","Y0-9","ITL","69"
"034004","RESPOP_AV","T","Y0-9","TOTAL","90"
"034004","RESPOP_AV","T","Y10-19","FRGAPO","22"
"034004","RESPOP_AV","T","Y10-19","ITL","99"
"034004","RESPOP_AV","T","Y10-19","TOTAL","121"
"034004","RESPOP_AV","T","Y20-29","FRGAPO","32"
"034004","RESPOP_AV","T","Y20-29","ITL","97"
"034004","RESPOP_AV","T","Y20-29","TOTAL","129"
"034004","RESPOP_AV","T","Y30-39","FRGAPO","39"
"034004","RESPOP_AV","T","Y30-39","ITL","118"
"034004","RESPOP_AV","T","Y30-39","TOTAL","157"
"034004","RESPOP_AV","T","Y40-49","FRGAPO","55"
"034004","RESPOP_AV","T","Y40-49","ITL","187"
"034004","RESPOP_AV","T","Y40-49","TOTAL","242"
"034004","RESPOP_AV","T","Y50-59","FRGAPO","24"
"034004","RESPOP_AV","T","Y50-59","ITL","297"
"034004","RESPOP_AV","T","Y50-59","TOTAL","321"
"034004","RESPOP_AV","T","Y60-69","FRGAPO","21"
"034004","RESPOP_AV","T","Y60-69","ITL","336"
"034004","RESPOP_AV","T","Y60-69","TOTAL","357"
"034004","RESPOP_AV","T","Y70-79","FRGAPO","6"
"034004","RESPOP_AV","T","Y70-79","ITL","317"
"034004","RESPOP_AV","T","Y70-79","TOTAL","323"
"034004","RESPOP_AV","T","Y80-89","ITL","179"
"034004","RESPOP_AV","T","Y80-89","TOTAL","179"
"034004","RESPOP_AV","T","Y90-99","FRGAPO","1"
"034004","RESPOP_AV","T","Y90-99","ITL","47"
"034004","RESPOP_AV","T","Y90-99","TOTAL","48"
"034005","RESPOP_AV","F","TOTAL","FRGAPO","37"
"034005","RESPOP_AV","F","TOTAL","ITL","266"
"034005","RESPOP_AV","F","TOTAL","TOTAL","303"
"034005","RESPOP_AV","F","Y_GE100","ITL","1"
"034005","RESPOP_AV","F","Y_GE100","TOTAL","1"
"034005","RESPOP_AV","F","Y0-9","FRGAPO","5"
"034005","RESPOP_AV","F","Y0-9","ITL","5"
"034005","RESPOP_AV","F","Y0-9","TOTAL","10"
"034005","RESPOP_AV","F","Y10-19","FRGAPO","1"
"034005","RESPOP_AV","F","Y10-19","ITL","7"
"034005","RESPOP_AV","F","Y10-19","TOTAL","8"
"034005","RESPOP_AV","F","Y20-29","FRGAPO","6"
"034005","RESPOP_AV","F","Y20-29","ITL","20"
"034005","RESPOP_AV","F","Y20-29","TOTAL","26"
"034005","RESPOP_AV","F","Y30-39","FRGAPO","3"
"034005","RESPOP_AV","F","Y30-39","ITL","11"
"034005","RESPOP_AV","F","Y30-39","TOTAL","14"
"034005","RESPOP_AV","F","Y40-49","FRGAPO","6"
"034005","RESPOP_AV","F","Y40-49","ITL","24"
"034005","RESPOP_AV","F","Y40-49","TOTAL","30"
"034005","RESPOP_AV","F","Y50-59","FRGAPO","10"
"034005","RESPOP_AV","F","Y50-59","ITL","30"
"034005","RESPOP_AV","F","Y50-59","TOTAL","40"
"034005","RESPOP_AV","F","Y60-69","FRGAPO","5"
"034005","RESPOP_AV","F","Y60-69","ITL","39"
"034005","RESPOP_AV","F","Y60-69","TOTAL","44"
"034005","RESPOP_AV","F","Y70-79","FRGAPO","1"
"034005","RESPOP_AV","F","Y70-79","ITL","55"
"034005","RESPOP_AV","F","Y70-79","TOTAL","56"
"034005","RESPOP_AV","F","Y80-89","ITL","51"
"034005","RESPOP_AV","F","Y80-89","TOTAL","51"
"034005","RESPOP_AV","F","Y90-99","ITL","23"
"034005","RESPOP_AV","F","Y90-99","TOTAL","23"
"034005","RESPOP_AV","M","TOTAL","FRGAPO","19"
"034005","RESPOP_AV","M","TOTAL","ITL","310"
"034005","RESPOP_AV","M","TOTAL","TOTAL","329"
"034005","RESPOP_AV","M","Y_GE100","ITL","2"
"034005","RESPOP_AV","M","Y_GE100","TOTAL","2"
"034005","RESPOP_AV","M","Y0-9","ITL","5"
"034005","RESPOP_AV","M","Y0-9","TOTAL","5"
"034005","RESPOP_AV","M","Y10-19","ITL","10"
"034005","RESPOP_AV","M","Y10-19","TOTAL","10"
"034005","RESPOP_AV","M","Y20-29","FRGAPO","3"
"034005","RESPOP_AV","M","Y20-29","ITL","22"
"034005","RESPOP_AV","M","Y20-29","TOTAL","25"
"034005","RESPOP_AV","M","Y30-39","FRGAPO","4"
"034005","RESPOP_AV","M","Y30-39","ITL","18"
"034005","RESPOP_AV","M","Y30-39","TOTAL","22"
"034005","RESPOP_AV","M","Y40-49","FRGAPO","4"
"034005","RESPOP_AV","M","Y40-49","ITL","28"
"034005","RESPOP_AV","M","Y40-49","TOTAL","32"
"034005","RESPOP_AV","M","Y50-59","FRGAPO","2"
"034005","RESPOP_AV","M","Y50-59","ITL","56"
"034005","RESPOP_AV","M","Y50-59","TOTAL","58"
"034005","RESPOP_AV","M","Y60-69","FRGAPO","6"
"034005","RESPOP_AV","M","Y60-69","ITL","52"
"034005","RESPOP_AV","M","Y60-69","TOTAL","58"
"034005","RESPOP_AV","M","Y70-79","ITL","60"
"034005","RESPOP_AV","M","Y70-79","TOTAL","60"
"034005","RESPOP_AV","M","Y80-89","ITL","43"
"034005","RESPOP_AV","M","Y80-89","TOTAL","43"
"034005","RESPOP_AV","M","Y90-99","ITL","14"
